extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,interactions,launches,screen_time_min,user_id,youtube_comments,youtube_likes,youtube_views
47.04,37.43,55.21,33.43,49.03,64.74,49.49,47.64,38.34,39.56,49.14,62.18,55.91,7,2,24.53,1051,2325.5,12928.5,249747
65.22,50.02,35.8,44.06,49.4,66.63,62.1,47.64,51.88,42.35,55.86,45.96,46.69,2,3,19.78,1088,2325.5,12928.5,249747
46.88,57.43,57.65,55.18,41.87,54.84,65.59,61.28,49.51,41.11,55.53,44.13,71.01,6,1,32.03,1052,2325.5,12928.5,249747
44.15,49.34,47.13,59.39,47.87,54.68,56.14,63.98,46.75,46.98,40.15,48.11,50.09,5,2,19.1,1028,2325.5,12928.5,249747
48.52,57.48,45.99,51.58,60.38,51.23,44.38,52.71,58.19,37.47,55.64,51.6,37.37,5,1,25.19,1034,2325.5,12928.5,249747
38.67,49.96,45.13,39.72,49.51,46.77,64.65,56.46,54.96,77.01,54.29,44.74,30.51,5,2,85.15,1064,2325.5,12928.5,249747
29.07,58.09,42.72,41.64,47.35,47.58,44.37,50.46,52.42,51.46,52.64,59.76,44.91,5,0,4.37,1063,2325.5,12928.5,249747
50.61,63.96,57.08,52.43,38.45,38.67,36.04,42.14,55.9,44.75,59.52,49.9,37.87,5,2,57.35,1095,2325.5,12928.5,249747
55.62,33.4,54.7,41.59,41.69,44.76,62.96,56.71,51.15,62.9,43.87,69.96,47.37,2,3,58.42,1060,2325.5,12928.5,249747
55.88,55.8,28.77,47.32,54.31,65.51,61.68,62.45,49.79,53.38,70.39,27.47,56.65,7,0,5.08,1016,2325.5,12928.5,249747
36.85,45,51.19,59.12,42.46,44.1,66.32,43.08,42.87,35.27,45.14,51.7,50.69,4,5,36.16,1060,2325.5,12928.5,249747
40.72,73.13,58.36,52.25,59.88,54.13,50.68,33.23,44.1,51.47,44,46.85,59.65,7,5,6.18,1044,2325.5,12928.5,249747
35.18,53.53,47.71,39.24,31,49.99,57.78,46.2,44.72,49.29,50.9,46.74,58.3,5,5,31.61,1065,2325.5,12928.5,249747
61.09,43.69,45.59,50.76,42.65,58.13,25.33,50.39,50.74,60.87,43.62,41.84,51.24,1,5,110.47,1059,2325.5,12928.5,249747
41.25,54.88,59.08,64.26,54.6,50.26,50.25,58.44,57.18,39.96,51.58,61.1,57.54,4,2,4.1,1041,2325.5,12928.5,249747
49,55.05,53.81,53.53,58.53,30.59,33.69,48.6,54.97,40.65,53.67,48.32,57.59,4,5,5.97,1079,2325.5,12928.5,249747
45.39,57.14,61.75,60.41,41.49,62.12,58.54,46.6,29.23,36.94,47.19,48.66,65.01,3,4,19.5,1087,2325.5,12928.5,249747
35.54,34.93,40.04,54.23,36.58,29.21,59.04,74.97,47.4,57.56,37.11,45.87,45.73,5,3,33.26,1003,2325.5,12928.5,249747
73.31,70.75,46.5,50.36,55.93,57.79,62.38,38.19,65.13,64.86,43.38,65.26,53.99,1,0,13.79,1041,2325.5,12928.5,249747
46.04,62.43,29.27,54.55,54.08,50.15,51.05,63.94,56.76,36.51,43.09,37.69,54.86,3,2,21.07,1022,2325.5,12928.5,249747
36.51,70.57,42.19,40.13,46,37.55,45.51,41.38,39.86,52.9,41.53,71.38,53.5,4,3,9.53,1093,2325.5,12928.5,249747
56.81,41.84,60.83,50.87,33.87,43.76,37.23,69.65,53.26,42.94,58.51,63.26,50.33,3,2,21.09,1069,2325.5,12928.5,249747
57.59,62.19,66.58,58.05,48.32,61.8,67.78,46.48,47.3,28.2,51.15,48.51,25.48,1,4,33.38,1056,2325.5,12928.5,249747
54.85,40.17,61.49,55.56,43.8,30.59,49.46,43.85,49.04,51.84,58.25,69.34,56.68,6,1,9.63,1014,2325.5,12928.5,249747
47.66,27.48,47.55,62.65,47.5,33.78,38.82,53.51,38.74,40.85,63.16,50.99,50.16,5,3,84.67,1019,2325.5,12928.5,249747
60.24,46.47,60.91,66.43,50.34,42,48.12,67.45,45.26,46.03,56.13,52.21,66.59,6,4,54.04,1027,2325.5,12928.5,249747
42.68,52.84,66.76,44.16,44.82,43.86,42.85,46.32,49.97,47.06,53.04,65.04,54.9,4,3,12.75,1028,2325.5,12928.5,249747
57.73,49.6,51.48,42.07,43.81,43.53,76.65,57.36,28.53,44.74,45.87,60.15,40.98,6,2,6.41,1048,2325.5,12928.5,249747
56.01,30.15,55.13,26.21,62.47,51,44.13,59.85,59.07,44.39,47.47,42.48,56.58,4,3,5.96,1004,386,12489,141455
39.76,51.91,37.62,59.72,63.36,38.42,50.78,60.53,41.71,45.82,44.64,43.86,36.48,5,1,57.81,1041,2325.5,12928.5,249747
52.48,54.51,67.31,44.04,57.96,39.68,60.81,48.54,48.37,35.01,48.06,74.55,44.08,10,0,8.23,1009,2325.5,12928.5,249747
66.92,23.25,30.57,43.51,46.04,48.19,49.27,57.75,48.87,61.8,53.04,36.87,58.6,6,1,0.36,1093,2325.5,12928.5,249747
50.39,58.02,47.48,56.5,39.81,62.74,33.37,65.73,47.39,37.71,49.23,40.6,50.05,5,4,16.06,1033,2325.5,12928.5,249747
71.24,48.79,54.84,35.1,60.91,70.16,35.12,65.96,38.12,63.18,41.42,29.01,62.23,4,4,17.65,1023,2325.5,12928.5,249747
50.75,41.57,53.82,24.32,40.73,44.9,37.6,47.01,41.9,57.71,36.09,66.12,35.63,2,3,29.27,1061,3245,13571,217120
51.2,58.34,23.09,49.45,58.75,39.05,48.68,29.41,49.19,37.24,30.17,66.31,47.78,2,2,49.52,1049,2325.5,12928.5,249747
54.5,73.93,37.14,63.74,47.53,55.32,23.69,32.81,41.99,56.03,53.94,44.41,42.94,6,3,20.94,1083,2325.5,12928.5,249747
38.9,60.99,53.78,51.19,39.21,59,44.45,68.17,72.15,38.52,61.47,71.47,42.14,6,2,22.81,1055,2325.5,12928.5,249747
33.45,41.68,54.11,59.02,55.2,57.42,36.46,53.71,57.97,59.2,84.95,59.35,46.57,5,2,3.36,1027,5289,34012,455780
53.93,63.95,39.51,59.59,57.1,44.69,62.59,69.98,61.98,47.5,39.3,29.63,61.85,6,3,36.4,1012,2325.5,12928.5,249747
30.04,53.49,36.19,44.9,58.88,53.44,54.11,49.98,60.49,58.33,36.6,54.53,46.87,2,2,2.11,1054,2325.5,12928.5,249747
51.62,40.17,56.39,54,37.3,67.91,65.33,63.12,47.57,70.04,49.34,43.25,42.97,3,2,21.12,1021,2325.5,12928.5,249747
59.51,48.25,55,43.66,55.72,56.65,53.76,55.61,53.4,37.46,49.8,53,50.07,10,2,11.53,1036,2325.5,12928.5,249747
37.14,49.7,42.5,61.96,48.63,41,41.28,42.03,54.04,43.51,58.98,54.7,48.62,5,1,13.1,1085,2325.5,12928.5,249747
55.35,55.22,48.86,52.09,57.33,46.43,43.46,49.7,66.62,42.41,65.26,38.35,64.98,3,1,110.96,1017,2325.5,12928.5,249747
55.97,56.68,23.25,45.11,48.39,55.16,45.87,55.43,54.65,56.08,58.28,43.24,63.22,6,2,13.04,1000,2325.5,12928.5,249747
57.72,44.53,40.48,43.12,49.59,42.7,61.76,55.1,46.62,35.75,40.31,57.7,49.07,2,2,17.62,1032,2325.5,12928.5,249747
56.33,58.27,57.83,36.96,46.69,57.85,52.74,34.13,62.93,53.36,57.96,63.79,39.67,9,1,22.13,1016,2334,26298,327559
49,26.29,29.52,53.32,65.65,54.53,59.44,54.21,60.24,66.12,32.92,35.1,55.3,9,4,11.08,1035,2325.5,12928.5,249747
45.43,50.29,55.31,62.8,54.65,47.51,63.24,60.24,51.23,53.72,40.45,45.85,50.85,10,5,7,1059,2325.5,12928.5,249747
48.13,38.9,40.15,53.06,35.76,42.43,60.61,50.35,49.19,50.13,39.85,40.35,51.21,5,5,12.12,1031,2325.5,12928.5,249747
52.33,53.09,34.47,33.29,56.18,33.46,92.48,44.73,39.79,51.67,51.85,43.51,49.26,3,2,3.34,1076,2325.5,12928.5,249747
35.07,39.4,46.36,37.72,35.76,53.28,49.51,47.2,34.72,73.78,75.72,49.09,46.19,9,1,30.81,1069,2325.5,12928.5,249747
67.3,59.58,32.29,49.45,52.45,54.32,42.5,51.56,39.75,54.72,64.67,67.63,65.08,7,2,0.64,1013,2325.5,12928.5,249747
24.99,46.89,59.19,37.8,59.03,40.94,30.3,34.18,66.89,53,64.07,47.85,52.29,5,2,3.68,1080,2325.5,12928.5,249747
35.54,57.22,43.41,36.81,49.12,47.34,51.2,58.26,45.9,40.08,36.82,52.24,31.71,5,2,38,1054,2325.5,12928.5,249747
48.9,50.88,66.19,52.22,53.7,43.14,56.28,36.15,43.5,47.65,48.67,47.23,46.2,3,1,0.98,1088,2325.5,12928.5,249747
47.11,62.29,61.9,33.34,59.93,60.46,51.97,52.27,51.05,54.59,30.15,61.87,44.98,3,5,10.6,1035,2325.5,12928.5,249747
49.71,60.15,74.19,70.85,47.58,32.83,42.2,44.47,73.55,58.63,47.95,59.46,51.56,3,1,43.85,1062,2325.5,12928.5,249747
49.56,49.03,52.03,56.52,39.13,34.76,59.01,21.96,56.48,50.58,40.44,60.74,50.95,4,2,32.99,1019,2325.5,12928.5,249747
41.5,44.86,54.11,57.46,56.49,43,36.74,78.63,47.1,55.92,34.37,31.65,58.42,6,0,12.09,1099,2325.5,12928.5,249747
63.82,56.45,58.04,50.03,52.26,49,36.17,52.46,46.63,37.89,52.49,54.34,49.49,5,3,33.17,1043,2325.5,12928.5,249747
61.21,44.18,44.07,41.16,61.75,46.69,49.03,30.46,25.31,57.47,41.93,50.93,58.37,6,2,21.21,1086,2325.5,12928.5,249747
32.08,44.97,37.7,58.93,71.43,47.65,40.5,41.18,43.73,53.47,43.7,49.7,53.28,5,1,8.03,1058,2325.5,12928.5,249747
40.65,47.99,46.4,37.52,33.84,58.5,36.09,53.58,43.26,44.72,31.65,58.68,37.78,4,1,27.75,1090,2325.5,12928.5,249747
51.12,51.22,50.36,50.37,55.15,44.59,40.21,56.84,50.01,55.1,38.64,60.03,49.41,9,3,17.89,1030,2325.5,12928.5,249747
58.71,57.3,57.11,38.36,48.74,43.62,42.85,55.32,53.98,55.82,47.28,43,68.76,10,4,8.14,1050,2325.5,12928.5,249747
41.08,39.89,52.64,45.12,36.36,63.23,57.41,47.31,35.72,51.95,50.34,59.72,47.86,5,3,10.18,1054,2325.5,12928.5,249747
34.47,68.22,33.48,48.84,49.49,54.32,63.2,57.08,53.1,70.46,49.32,44.5,51.92,5,5,36.72,1001,2325.5,12928.5,249747
34.51,59.33,37.6,44.81,40.74,31.09,60.03,39.74,62.91,54.48,49.6,49.67,51.08,5,3,68.02,1021,2325.5,12928.5,249747
38.37,65.85,55.1,60.59,59.37,50.65,63.45,48.08,63.41,71.48,53.53,51.49,65.32,3,2,8.91,1039,2325.5,12928.5,249747
47.01,45.71,67.32,50.47,62.51,40.69,60.5,51.82,54.53,51.55,48.96,46.19,32.75,3,3,3.9,1001,2325.5,12928.5,249747
73.09,54.99,39.59,61.29,50.81,36.48,49.81,39.63,46.14,51.59,58.29,53.66,59.46,5,0,18.99,1076,2325.5,12928.5,249747
35.2,53.2,55.03,49.49,60.27,67.68,47,45.29,65.63,50.71,49.46,38.27,46.07,7,1,41.27,1037,2325.5,12928.5,249747
69.22,50.67,37.88,46.49,60.1,60.6,55.87,33.05,55.01,52.84,47.1,57.61,61.61,12,2,39.72,1069,2325.5,12928.5,249747
59.85,31.16,43.52,47.07,63.01,38.78,48.41,37.91,50.49,47.8,31.46,39.31,56.42,5,4,2.6,1032,2325.5,12928.5,249747
49.84,65.55,54.96,50.58,44.35,43.15,51.37,51.99,39.61,55.54,51.32,56.36,48.38,6,3,53.45,1068,2325.5,12928.5,249747
49.55,50.94,52.79,44.26,59.21,50.01,42.58,54.09,47.37,36.98,44.3,42.87,61.78,4,2,7.01,1085,2325.5,12928.5,249747
38.82,61.96,46.28,26.76,66.78,61.38,46.5,41.71,38.64,48.99,58.18,66.44,42.24,6,2,43.36,1029,2325.5,12928.5,249747
66.99,30.79,46.81,41.01,39.72,31.66,38.52,52.06,47.83,47.2,43.41,51.32,55.88,4,1,30.3,1043,2325.5,12928.5,249747
56.33,47.1,80.2,60.49,40.99,48.13,41.27,41.45,60.58,67.03,36.27,48.68,65.46,8,0,4.03,1011,2325.5,12928.5,249747
58.13,59.84,70.84,49.21,48.43,47.39,56.47,59.68,45.16,51.26,39.56,29.33,32.47,4,3,37.65,1007,2325.5,12928.5,249747
53.33,47.7,44.4,52.51,65,46.97,40.63,49.54,62.16,38.28,41.54,28.03,39.08,6,3,13.83,1036,2325.5,12928.5,249747
55.14,52.17,36.41,49.63,33.25,52.32,66.33,50.99,53.47,36.99,45.33,57.63,64.17,12,2,9.84,1049,2325.5,12928.5,249747
45.24,55.3,65.17,53.66,58.3,50.07,29.91,38.4,54.05,59.1,43.72,67.82,50.75,4,2,30.23,1046,2325.5,12928.5,249747
39.72,53.3,42.67,58.02,69.62,61.57,37.26,50.06,62.26,49.22,46.11,53.75,52.81,4,2,20.25,1096,2325.5,12928.5,249747
53.34,48.15,58.28,50.09,36.4,31.68,40.11,48.26,62.53,41.8,39.58,65.96,44.94,4,5,53.19,1004,2325.5,12928.5,249747
45.11,63.6,36.68,37.52,52.85,55.35,55.93,47.98,63.71,60.39,40.01,60.33,61.77,3,4,21.09,1003,2325.5,12928.5,249747
41.11,51.54,52.25,44.84,54.99,53.34,73.12,35.09,50.2,61,49.5,59.45,41.98,8,2,34.43,1016,2325.5,12928.5,249747
50.18,45.71,43.33,79.48,46.12,54.45,53.5,59.13,39.28,54.53,43.82,39.27,66.64,7,2,1.81,1046,2325.5,12928.5,249747
58.23,47.29,59.26,51.91,54.9,66.06,33.52,48.71,47.02,49.36,59.87,56.14,43.8,3,3,23.94,1031,2325.5,12928.5,249747
57.91,54.01,57.52,59.33,68.23,40.86,33.61,55.02,44.73,55.32,51.91,40.72,45.88,12,0,5.5,1086,2325.5,12928.5,249747
45.44,46.71,72,34.2,47,32.43,45.98,53.36,49.09,47.94,34.17,55.61,32.52,3,4,3.66,1042,2325.5,12928.5,249747
47.21,38,49.87,53.79,48.68,56.64,66.24,38.08,49.52,40.8,43.02,62.71,49.31,4,1,49.78,1096,2325.5,12928.5,249747
48.37,43.75,40.26,59.32,44.63,47.05,51.56,49.28,58.67,40.21,41.89,43.64,39,5,1,1.06,1071,2325.5,12928.5,249747
